product_att_01,product_att_02,product_att_05,product_att_01_desc,product_att_02_desc,product_att_05_desc,store_cluster,week_start_date,total_quantity,unit_price_mean,unit_price_median,discount_frac_mean,discount_frac_wavg
1.0,919.0,8.0,Ayakkabı,Bot & Çizme,Bot ve Çizme,2,2023-08-14,160,1507.2351063829788,899.99,0.007106092392946001,0.005486794874765901
1.0,1.0,3.0,Ayakkabı,Ayakkabı,Krampon,0,2024-12-16,160,2065.977619047619,1781.81,0.01235721391498755,0.011391618050435946
2.0,36.0,30.0,Giyim,Tayt,Tayt,0,2024-02-26,160,645.1644318181818,545.45,0.052897059279290205,0.035680759140116786
2.0,920.0,11.0,Giyim,Atlet,Atlet,0,2023-08-14,160,317.36630952380955,272.72,0.024075318307760468,0.0248154692007238
3.0,925.0,57.0,Aksesuar,Şapka,Şapka,0,2023-08-21,158,357.08278481012667,272.72,0.01092242699094097,0.00956430300593885
2.0,24.0,23.0,Giyim,Sweatshirt,Sweatshirt,3,2024-09-30,158,908.0065882352941,818.17,0.03342774841840221,0.027300421586035743
2.0,920.0,11.0,Giyim,Atlet,Atlet,1,2024-06-10,158,253.99037974683543,227.26,0.16428750002745068,0.15563521015868312
2.0,26.0,12.0,Giyim,Ceket,Ceket,2,2024-04-01,158,993.7273381294964,849.99,0.026294322869694495,0.03826587289378532
3.0,17.0,54.0,Aksesuar,Çorap,Çorap,3,2024-12-16,158,132.8567088607595,99.95,0.19437917681659997,0.12760882723420963
1.0,1.0,3.0,Ayakkabı,Ayakkabı,Krampon,0,2023-11-20,158,1364.252048192771,1454.55,0.017166748390495524,0.004268711112658792
2.0,32.0,13.0,Giyim,Eşofman,Eşofman Altı,3,2025-03-24,158,1597.8603703703704,1454.5,0.012429389424209101,0.007206626796230436
2.0,32.0,13.0,Giyim,Eşofman,Eşofman Altı,3,2025-06-02,158,1382.940224719101,1399.99,0.019250683398237326,0.016566772037729726
3.0,18.0,69.0,Aksesuar,Aksesuar,Parfüm,0,2025-01-06,158,329.31313253012047,0.0,0.448122762898817,0.1409154338425949
2.0,29.0,24.0,Giyim,Şort,Şort,2,2024-07-15,158,637.148287037037,536.3199999999999,0.03922013544470181,0.04488700696688464
